fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
8.70,0.52,0.09,2.50,0.09,20.00,49.00,1.00,3.34,0.86,10.60,7.00
11.60,0.42,0.53,3.30,0.11,33.00,98.00,1.00,3.20,0.95,9.20,5.00
8.70,0.52,0.09,2.50,0.09,20.00,49.00,1.00,3.34,0.86,10.60,7.00
11.00,0.20,0.48,2.00,0.34,6.00,18.00,1.00,3.30,0.71,10.50,5.00
10.40,0.55,0.23,2.70,0.09,18.00,48.00,1.00,3.22,0.64,10.30,6.00
6.90,0.36,0.25,2.40,0.10,5.00,16.00,1.00,3.41,0.60,10.10,6.00
13.30,0.34,0.52,3.20,0.09,17.00,53.00,1.00,3.05,0.81,9.50,6.00
10.80,0.50,0.46,2.50,0.07,5.00,27.00,1.00,3.05,0.64,9.50,5.00
10.60,0.83,0.37,2.60,0.09,26.00,70.00,1.00,3.16,0.52,9.90,5.00
7.10,0.63,0.06,2.00,0.08,8.00,29.00,1.00,3.67,0.73,9.60,5.00
7.20,0.65,0.02,2.30,0.09,5.00,31.00,1.00,3.67,0.80,9.70,5.00
6.90,0.67,0.06,2.10,0.08,8.00,33.00,1.00,3.68,0.71,9.60,5.00
7.50,0.53,0.06,2.60,0.09,20.00,44.00,1.00,3.38,0.59,10.70,6.00
11.10,0.18,0.48,1.50,0.07,7.00,15.00,1.00,3.22,0.64,10.10,6.00
8.30,0.71,0.12,2.60,0.09,12.00,28.00,1.00,3.51,0.72,10.00,5.00
7.40,0.67,0.12,1.60,0.19,5.00,21.00,1.00,3.39,0.54,9.50,5.00
8.40,0.65,0.60,2.10,0.11,12.00,90.00,1.00,3.20,0.52,9.20,5.00
10.30,0.53,0.48,2.50,0.06,6.00,25.00,1.00,3.12,0.59,9.30,6.00
7.60,0.62,0.32,2.20,0.08,7.00,54.00,1.00,3.36,0.52,9.40,5.00
10.30,0.41,0.42,2.40,0.21,6.00,14.00,1.00,3.19,0.62,9.50,6.00
10.30,0.43,0.44,2.40,0.21,5.00,12.00,1.00,3.19,0.63,9.50,6.00
7.40,0.29,0.38,1.70,0.06,9.00,30.00,1.00,3.41,0.53,9.50,6.00
10.30,0.53,0.48,2.50,0.06,6.00,25.00,1.00,3.12,0.59,9.30,6.00
7.90,0.53,0.24,2.00,0.07,15.00,105.00,1.00,3.27,0.54,9.40,6.00
9.00,0.46,0.31,2.80,0.09,19.00,98.00,1.00,3.32,0.63,9.50,6.00
8.60,0.47,0.30,3.00,0.08,30.00,135.00,1.00,3.30,0.53,9.40,5.00
7.40,0.36,0.29,2.60,0.09,26.00,72.00,1.00,3.39,0.68,11.00,5.00
7.10,0.35,0.29,2.50,0.10,20.00,53.00,1.00,3.42,0.65,11.00,6.00
9.60,0.56,0.23,3.40,0.10,37.00,92.00,1.00,3.30,0.65,10.10,5.00
9.60,0.77,0.12,2.90,0.08,30.00,74.00,1.00,3.30,0.64,10.40,6.00
9.80,0.66,0.39,3.20,0.08,21.00,59.00,1.00,3.37,0.71,11.50,7.00
9.60,0.77,0.12,2.90,0.08,30.00,74.00,1.00,3.30,0.64,10.40,6.00
9.80,0.66,0.39,3.20,0.08,21.00,59.00,1.00,3.37,0.71,11.50,7.00
9.30,0.61,0.26,3.40,0.09,25.00,87.00,1.00,3.24,0.62,9.70,5.00
7.80,0.62,0.05,2.30,0.08,6.00,18.00,1.00,3.29,0.63,9.30,5.00
10.30,0.59,0.42,2.80,0.09,35.00,73.00,1.00,3.28,0.70,9.50,6.00
10.00,0.49,0.20,11.00,0.07,13.00,50.00,1.00,3.16,0.69,9.20,6.00
10.00,0.49,0.20,11.00,0.07,13.00,50.00,1.00,3.16,0.69,9.20,6.00
11.60,0.53,0.66,3.65,0.12,6.00,14.00,1.00,3.05,0.74,11.50,7.00
10.30,0.44,0.50,4.50,0.11,5.00,13.00,1.00,3.28,0.83,11.50,5.00
13.40,0.27,0.62,2.60,0.08,6.00,21.00,1.00,3.16,0.67,9.70,6.00
10.70,0.46,0.39,2.00,0.06,7.00,15.00,1.00,3.18,0.62,9.50,5.00
10.20,0.36,0.64,2.90,0.12,10.00,41.00,1.00,3.23,0.66,12.50,6.00
10.20,0.36,0.64,2.90,0.12,10.00,41.00,1.00,3.23,0.66,12.50,6.00
8.00,0.58,0.28,3.20,0.07,21.00,114.00,1.00,3.22,0.54,9.40,6.00
8.40,0.56,0.08,2.10,0.11,16.00,44.00,1.00,3.13,0.52,11.00,5.00
7.90,0.65,0.01,2.50,0.08,17.00,38.00,1.00,3.34,0.74,11.70,7.00
11.90,0.70,0.53,3.40,0.13,7.00,21.00,1.00,3.17,0.84,12.20,7.00
8.90,0.43,0.45,1.90,0.05,6.00,16.00,0.99,3.35,0.70,12.50,6.00
7.80,0.43,0.32,2.80,0.08,29.00,58.00,1.00,3.31,0.64,10.30,5.00
12.40,0.49,0.58,3.00,0.10,28.00,99.00,1.00,3.16,1.00,11.50,6.00
12.50,0.28,0.54,2.30,0.08,12.00,29.00,1.00,3.11,1.36,9.80,7.00
12.20,0.34,0.50,2.40,0.07,10.00,21.00,1.00,3.12,1.18,9.20,6.00
10.60,0.42,0.48,2.70,0.07,5.00,18.00,1.00,3.21,0.87,11.30,6.00
10.90,0.39,0.47,1.80,0.12,6.00,14.00,1.00,3.30,0.75,9.80,6.00
10.90,0.39,0.47,1.80,0.12,6.00,14.00,1.00,3.30,0.75,9.80,6.00
11.90,0.57,0.50,2.60,0.08,6.00,32.00,1.00,3.12,0.78,10.70,6.00
7.00,0.69,0.00,1.90,0.07,40.00,63.00,1.00,3.60,0.81,9.90,5.00
6.60,0.82,0.02,2.70,0.07,17.00,34.00,1.00,3.58,0.89,12.30,7.00
13.80,0.49,0.67,3.00,0.09,6.00,15.00,1.00,3.02,0.93,12.00,6.00
9.60,0.56,0.31,2.80,0.09,15.00,46.00,1.00,3.11,0.92,10.00,6.00
9.10,0.79,0.00,2.60,0.09,11.00,28.00,1.00,3.36,0.86,9.40,6.00
10.70,0.67,0.22,2.70,0.11,17.00,34.00,1.00,3.28,0.98,9.90,6.00
9.10,0.80,0.00,2.60,0.10,11.00,26.00,1.00,3.35,0.83,9.40,6.00
7.70,0.67,0.00,2.40,0.09,8.00,19.00,1.00,3.27,0.73,9.30,5.00
13.50,0.53,0.79,4.80,0.12,23.00,77.00,1.00,3.18,0.77,13.00,5.00
6.10,0.21,0.40,1.40,0.07,40.50,165.00,0.99,3.25,0.59,11.90,6.00
6.70,0.75,0.01,2.40,0.08,17.00,32.00,1.00,3.55,0.61,12.80,6.00
11.50,0.41,0.52,3.00,0.08,29.00,55.00,1.00,3.26,0.88,11.00,5.00
10.50,0.42,0.66,2.95,0.12,12.00,29.00,1.00,3.24,0.75,11.70,7.00
11.90,0.43,0.66,3.10,0.11,10.00,23.00,1.00,3.15,0.85,10.40,7.00
12.60,0.38,0.66,2.60,0.09,10.00,41.00,1.00,3.17,0.68,9.80,6.00
8.20,0.70,0.23,2.00,0.10,14.00,81.00,1.00,3.19,0.70,9.40,5.00
8.60,0.45,0.31,2.60,0.09,21.00,50.00,1.00,3.37,0.91,9.90,6.00
11.90,0.58,0.66,2.50,0.07,6.00,37.00,1.00,3.05,0.56,10.00,5.00
12.50,0.46,0.63,2.00,0.07,6.00,15.00,1.00,2.99,0.87,10.20,5.00
12.80,0.62,0.66,5.80,0.08,7.00,42.00,1.00,3.07,0.73,10.00,7.00
10.00,0.42,0.50,3.40,0.11,7.00,21.00,1.00,3.26,0.93,11.80,6.00
12.80,0.62,0.66,5.80,0.08,7.00,42.00,1.00,3.07,0.73,10.00,7.00
10.40,0.58,0.61,2.60,0.08,11.00,24.00,1.00,3.16,0.69,9.00,5.00
10.30,0.34,0.52,2.80,0.16,15.00,75.00,1.00,3.18,0.64,9.40,5.00
9.40,0.27,0.53,2.40,0.07,6.00,18.00,1.00,3.20,1.13,12.00,7.00
6.90,0.77,0.02,2.30,0.06,35.00,63.00,1.00,3.57,0.78,9.90,5.00
7.90,0.24,0.40,1.60,0.06,11.00,25.00,1.00,3.32,0.87,8.70,6.00
9.10,0.28,0.48,1.80,0.07,26.00,46.00,1.00,3.32,1.04,10.60,6.00
7.40,0.55,0.22,2.20,0.11,12.00,72.00,1.00,3.05,0.63,9.20,5.00
14.00,0.41,0.63,3.80,0.09,6.00,47.00,1.00,3.01,0.81,10.80,6.00
11.50,0.54,0.71,4.40,0.12,6.00,15.00,1.00,3.01,0.83,11.80,7.00
11.50,0.45,0.50,3.00,0.08,19.00,47.00,1.00,3.26,1.11,11.00,6.00
9.40,0.27,0.53,2.40,0.07,6.00,18.00,1.00,3.20,1.13,12.00,7.00
11.40,0.63,0.66,6.20,0.09,6.00,24.00,1.00,3.11,0.99,13.30,6.00
8.30,0.42,0.38,2.50,0.09,24.00,60.00,1.00,3.31,0.70,10.80,6.00
8.30,0.26,0.42,2.00,0.08,11.00,27.00,1.00,3.21,0.80,9.40,6.00
13.70,0.42,0.68,2.90,0.09,17.00,43.00,1.00,3.06,0.80,10.00,6.00
8.30,0.26,0.42,2.00,0.08,11.00,27.00,1.00,3.21,0.80,9.40,6.00
8.30,0.26,0.42,2.00,0.08,11.00,27.00,1.00,3.21,0.80,9.40,6.00
7.70,0.51,0.28,2.10,0.09,23.00,54.00,1.00,3.42,0.74,9.20,5.00
7.40,0.63,0.07,2.40,0.09,11.00,37.00,1.00,3.43,0.76,9.70,6.00
7.80,0.54,0.26,2.00,0.09,23.00,48.00,1.00,3.41,0.74,9.20,6.00
8.30,0.66,0.15,1.90,0.08,17.00,42.00,1.00,3.31,0.54,9.60,6.00
7.80,0.46,0.26,1.90,0.09,23.00,53.00,1.00,3.43,0.74,9.20,6.00
9.60,0.38,0.31,2.50,0.10,16.00,49.00,1.00,3.19,0.70,10.00,7.00
5.60,0.85,0.05,1.40,0.05,12.00,88.00,0.99,3.56,0.82,12.90,8.00
13.70,0.42,0.68,2.90,0.09,17.00,43.00,1.00,3.06,0.80,10.00,6.00
9.50,0.37,0.52,2.00,0.08,6.00,26.00,1.00,3.18,0.51,9.50,5.00
8.40,0.67,0.61,2.00,0.11,13.00,95.00,1.00,3.16,0.54,9.10,5.00
12.70,0.60,0.65,2.30,0.06,6.00,25.00,1.00,3.03,0.57,9.90,5.00
12.00,0.37,0.76,4.20,0.07,7.00,38.00,1.00,3.22,0.60,13.00,7.00
6.60,0.74,0.02,7.90,0.12,68.00,124.00,1.00,3.47,0.53,9.90,5.00
11.50,0.59,0.59,2.60,0.09,13.00,49.00,1.00,3.18,0.65,11.00,6.00
11.50,0.59,0.59,2.60,0.09,13.00,49.00,1.00,3.18,0.65,11.00,6.00
8.70,0.77,0.22,2.30,0.06,9.00,42.00,1.00,3.10,0.55,9.40,5.00
6.60,0.74,0.02,7.90,0.12,68.00,124.00,1.00,3.47,0.53,9.90,5.00
7.70,0.26,0.30,1.70,0.06,20.00,38.00,0.99,3.29,0.47,10.80,6.00
12.20,0.48,0.54,2.60,0.09,19.00,64.00,1.00,3.10,0.61,10.50,6.00
11.40,0.60,0.49,2.70,0.09,10.00,41.00,1.00,3.15,0.63,10.50,6.00
7.70,0.69,0.05,2.70,0.08,15.00,27.00,1.00,3.26,0.61,9.10,5.00
8.70,0.31,0.46,1.40,0.06,11.00,25.00,1.00,3.36,0.76,10.10,6.00
9.80,0.44,0.47,2.50,0.06,9.00,28.00,1.00,3.24,0.65,10.80,6.00
12.00,0.39,0.66,3.00,0.09,12.00,30.00,1.00,3.18,0.63,10.80,7.00
10.40,0.34,0.58,3.70,0.17,6.00,16.00,1.00,3.19,0.70,11.30,6.00
12.50,0.46,0.49,4.50,0.07,26.00,49.00,1.00,3.05,0.57,9.60,4.00
9.00,0.43,0.34,2.50,0.08,26.00,86.00,1.00,3.38,0.62,9.50,6.00
9.10,0.45,0.35,2.40,0.08,23.00,78.00,1.00,3.38,0.62,9.50,5.00
7.10,0.74,0.16,1.90,0.10,15.00,77.00,1.00,3.27,0.64,9.30,5.00
9.90,0.40,0.53,6.70,0.10,6.00,19.00,1.00,3.27,0.82,11.70,7.00
8.80,0.52,0.34,2.70,0.09,24.00,122.00,1.00,3.26,0.61,9.50,5.00
8.60,0.73,0.24,6.60,0.12,31.00,134.00,1.00,3.32,1.07,9.30,5.00
10.60,0.48,0.64,2.20,0.11,6.00,20.00,1.00,3.26,0.66,11.70,6.00
7.00,0.58,0.12,1.90,0.09,34.00,124.00,1.00,3.44,0.48,10.50,5.00
11.90,0.38,0.51,2.00,0.12,7.00,20.00,1.00,3.24,0.76,10.40,6.00
6.80,0.77,0.00,1.80,0.07,34.00,52.00,1.00,3.62,0.68,9.90,5.00
9.50,0.56,0.33,2.40,0.09,35.00,67.00,1.00,3.28,0.73,11.80,7.00
6.60,0.84,0.03,2.30,0.06,32.00,48.00,1.00,3.52,0.56,12.30,7.00
7.70,0.96,0.20,2.00,0.05,15.00,60.00,1.00,3.36,0.44,10.90,5.00
10.50,0.24,0.47,2.10,0.07,6.00,24.00,1.00,3.15,0.90,11.00,7.00
7.70,0.96,0.20,2.00,0.05,15.00,60.00,1.00,3.36,0.44,10.90,5.00
6.60,0.84,0.03,2.30,0.06,32.00,48.00,1.00,3.52,0.56,12.30,7.00
6.40,0.67,0.08,2.10,0.05,19.00,48.00,0.99,3.49,0.49,11.40,6.00
9.50,0.78,0.22,1.90,0.08,6.00,32.00,1.00,3.26,0.56,10.60,6.00
9.10,0.52,0.33,1.30,0.07,9.00,30.00,1.00,3.24,0.60,9.30,5.00
12.80,0.84,0.63,2.40,0.09,13.00,35.00,1.00,3.10,0.60,10.40,6.00
10.50,0.24,0.47,2.10,0.07,6.00,24.00,1.00,3.15,0.90,11.00,7.00
7.80,0.55,0.35,2.20,0.07,21.00,66.00,1.00,3.25,0.56,9.20,5.00
11.90,0.37,0.69,2.30,0.08,12.00,24.00,1.00,3.00,0.65,12.80,6.00
12.30,0.39,0.63,2.30,0.09,6.00,18.00,1.00,3.16,0.49,9.50,5.00
10.40,0.41,0.55,3.20,0.08,22.00,54.00,1.00,3.15,0.89,9.90,6.00
12.30,0.39,0.63,2.30,0.09,6.00,18.00,1.00,3.16,0.49,9.50,5.00
8.00,0.67,0.30,2.00,0.06,38.00,62.00,1.00,3.26,0.56,10.20,6.00
11.10,0.45,0.73,3.20,0.07,6.00,22.00,1.00,3.17,0.66,11.20,6.00
10.40,0.41,0.55,3.20,0.08,22.00,54.00,1.00,3.15,0.89,9.90,6.00
7.00,0.62,0.18,1.50,0.06,7.00,50.00,1.00,3.08,0.60,9.30,5.00
12.60,0.31,0.72,2.20,0.07,6.00,29.00,1.00,2.88,0.82,9.80,8.00
11.90,0.40,0.65,2.15,0.07,7.00,27.00,1.00,3.06,0.68,11.30,6.00
15.60,0.69,0.76,3.70,0.10,6.00,43.00,1.00,2.95,0.68,11.20,7.00
10.00,0.44,0.49,2.70,0.08,11.00,19.00,1.00,3.23,0.63,11.60,7.00
5.30,0.57,0.01,1.70,0.05,5.00,27.00,0.99,3.57,0.84,12.50,7.00
9.50,0.74,0.10,2.10,0.08,6.00,31.00,1.00,3.23,0.56,10.10,6.00
12.50,0.38,0.60,2.60,0.08,31.00,72.00,1.00,3.10,0.73,10.50,5.00
9.30,0.48,0.29,2.10,0.13,6.00,16.00,1.00,3.22,0.72,11.20,5.00
8.60,0.53,0.22,2.00,0.10,7.00,27.00,1.00,3.20,0.56,10.20,6.00
11.90,0.39,0.69,2.80,0.10,17.00,35.00,1.00,3.10,0.61,10.80,6.00
11.90,0.39,0.69,2.80,0.10,17.00,35.00,1.00,3.10,0.61,10.80,6.00
8.40,0.37,0.53,1.80,0.41,9.00,26.00,1.00,3.06,1.06,9.10,6.00
6.80,0.56,0.03,1.70,0.08,18.00,35.00,1.00,3.44,0.63,10.00,6.00
10.40,0.33,0.63,2.80,0.08,5.00,22.00,1.00,3.26,0.74,11.20,7.00
7.00,0.23,0.40,1.60,0.06,21.00,67.00,1.00,3.50,0.63,11.10,5.00
11.30,0.62,0.67,5.20,0.09,6.00,19.00,1.00,3.22,0.69,13.40,8.00
8.90,0.59,0.39,2.30,0.10,5.00,22.00,1.00,3.37,0.58,10.30,5.00
9.20,0.63,0.21,2.70,0.10,29.00,65.00,1.00,3.28,0.58,9.60,5.00
10.40,0.33,0.63,2.80,0.08,5.00,22.00,1.00,3.26,0.74,11.20,7.00
11.60,0.58,0.66,2.20,0.07,10.00,47.00,1.00,3.25,0.57,9.00,3.00
9.20,0.43,0.52,2.30,0.08,14.00,23.00,1.00,3.35,0.61,11.30,6.00
8.30,0.62,0.22,2.60,0.09,6.00,19.00,1.00,3.26,0.61,9.30,5.00
11.00,0.26,0.68,2.55,0.09,10.00,25.00,1.00,3.18,0.61,11.80,5.00
8.10,0.66,0.70,2.20,0.10,25.00,129.00,1.00,3.08,0.53,9.00,5.00
11.50,0.32,0.54,2.10,0.08,5.00,15.00,1.00,2.98,0.70,9.20,6.00
10.00,0.29,0.40,2.90,0.10,10.00,26.00,1.00,3.48,0.91,9.70,5.00
10.30,0.50,0.42,2.00,0.07,21.00,51.00,1.00,3.16,0.72,11.50,6.00
8.80,0.46,0.45,2.60,0.07,7.00,18.00,0.99,3.32,0.79,14.00,6.00
11.40,0.36,0.69,2.10,0.09,6.00,21.00,1.00,3.17,0.62,9.20,6.00
8.70,0.82,0.02,1.20,0.07,36.00,48.00,1.00,3.20,0.58,9.80,5.00
13.00,0.32,0.65,2.60,0.09,15.00,47.00,1.00,3.05,0.61,10.60,5.00
9.60,0.54,0.42,2.40,0.08,25.00,52.00,1.00,3.20,0.71,11.40,6.00
12.50,0.37,0.55,2.60,0.08,25.00,68.00,1.00,3.15,0.82,10.40,6.00
9.90,0.35,0.55,2.10,0.06,5.00,14.00,1.00,3.26,0.79,10.60,5.00
10.50,0.28,0.51,1.70,0.08,10.00,24.00,1.00,3.20,0.89,9.40,6.00
9.60,0.68,0.24,2.20,0.09,5.00,28.00,1.00,3.14,0.60,10.20,5.00
9.30,0.27,0.41,2.00,0.09,6.00,16.00,1.00,3.28,0.70,9.70,5.00
10.40,0.24,0.49,1.80,0.08,6.00,20.00,1.00,3.18,1.06,11.00,6.00
9.60,0.68,0.24,2.20,0.09,5.00,28.00,1.00,3.14,0.60,10.20,5.00
9.40,0.69,0.11,2.70,0.08,6.00,31.00,1.00,3.19,0.70,10.10,6.00
10.60,0.28,0.39,15.50,0.07,6.00,23.00,1.00,3.12,0.66,9.20,5.00
9.40,0.30,0.56,2.80,0.08,6.00,17.00,1.00,3.15,0.92,11.70,8.00
10.60,0.36,0.59,2.20,0.15,6.00,18.00,1.00,3.04,1.05,9.40,5.00
10.60,0.36,0.60,2.20,0.15,7.00,18.00,1.00,3.04,1.06,9.40,5.00
10.60,0.44,0.68,4.10,0.11,6.00,24.00,1.00,3.06,0.66,13.40,6.00
10.20,0.67,0.39,1.90,0.05,6.00,17.00,1.00,3.17,0.47,10.00,5.00
10.20,0.67,0.39,1.90,0.05,6.00,17.00,1.00,3.17,0.47,10.00,5.00
10.20,0.65,0.36,1.80,0.05,5.00,14.00,1.00,3.17,0.42,10.00,6.00
11.60,0.32,0.55,2.80,0.08,35.00,67.00,1.00,3.32,0.92,10.80,7.00
9.30,0.39,0.40,2.60,0.07,10.00,26.00,1.00,3.34,0.75,10.20,6.00
9.30,0.78,0.27,2.80,0.08,24.00,56.00,1.00,3.31,0.67,10.60,6.00
9.20,0.41,0.50,2.50,0.06,12.00,25.00,1.00,3.34,0.79,13.30,7.00
8.90,0.40,0.51,2.60,0.05,13.00,27.00,1.00,3.32,0.90,13.40,7.00
8.70,0.69,0.31,3.00,0.09,23.00,81.00,1.00,3.48,0.74,11.60,6.00
6.50,0.39,0.23,8.30,0.05,28.00,91.00,1.00,3.44,0.55,12.10,6.00
10.70,0.35,0.53,2.60,0.07,5.00,16.00,1.00,3.15,0.65,11.00,8.00
7.80,0.52,0.25,1.90,0.08,14.00,38.00,1.00,3.43,0.65,9.00,6.00
7.20,0.34,0.32,2.50,0.09,43.00,113.00,1.00,3.32,0.79,11.10,5.00
10.70,0.35,0.53,2.60,0.07,5.00,16.00,1.00,3.15,0.65,11.00,8.00
8.70,0.69,0.31,3.00,0.09,23.00,81.00,1.00,3.48,0.74,11.60,6.00
7.80,0.52,0.25,1.90,0.08,14.00,38.00,1.00,3.43,0.65,9.00,6.00
10.40,0.44,0.73,6.55,0.07,38.00,76.00,1.00,3.17,0.85,12.00,7.00
10.40,0.44,0.73,6.55,0.07,38.00,76.00,1.00,3.17,0.85,12.00,7.00
10.50,0.26,0.47,1.90,0.08,6.00,24.00,1.00,3.18,1.04,10.90,7.00
10.50,0.24,0.42,1.80,0.08,6.00,22.00,1.00,3.21,1.05,10.80,7.00
10.20,0.49,0.63,2.90,0.07,10.00,26.00,1.00,3.16,0.78,12.50,7.00
10.40,0.24,0.46,1.80,0.08,6.00,21.00,1.00,3.25,1.02,10.80,7.00
11.20,0.67,0.55,2.30,0.08,6.00,13.00,1.00,3.17,0.71,9.50,6.00
10.00,0.59,0.31,2.20,0.09,26.00,62.00,1.00,3.18,0.63,10.20,6.00
13.30,0.29,0.75,2.80,0.08,23.00,43.00,1.00,3.04,0.68,11.40,7.00
12.40,0.42,0.49,4.60,0.07,19.00,43.00,1.00,3.02,0.61,9.50,5.00
10.00,0.59,0.31,2.20,0.09,26.00,62.00,1.00,3.18,0.63,10.20,6.00
10.70,0.40,0.48,2.10,0.13,15.00,49.00,1.00,3.03,0.81,9.70,6.00
10.50,0.51,0.64,2.40,0.11,6.00,15.00,1.00,3.09,0.66,11.80,7.00
10.50,0.51,0.64,2.40,0.11,6.00,15.00,1.00,3.09,0.66,11.80,7.00
8.50,0.66,0.49,6.10,0.12,34.00,151.00,1.00,3.31,1.14,9.30,5.00
12.50,0.60,0.49,4.30,0.10,5.00,14.00,1.00,3.25,0.74,11.90,6.00
10.40,0.61,0.49,2.10,0.20,5.00,16.00,1.00,3.16,0.63,8.40,3.00
10.90,0.21,0.49,2.80,0.09,11.00,32.00,1.00,3.22,0.68,11.70,6.00
7.30,0.37,0.49,2.50,0.09,39.00,106.00,1.00,3.36,0.78,11.00,5.00
9.80,0.25,0.49,2.70,0.09,15.00,33.00,1.00,3.42,0.90,10.00,6.00
7.60,0.41,0.49,2.00,0.09,16.00,43.00,1.00,3.48,0.64,9.10,5.00
8.20,0.39,0.49,2.30,0.10,47.00,133.00,1.00,3.38,0.99,9.80,5.00
9.30,0.40,0.49,2.50,0.09,38.00,142.00,1.00,3.22,0.55,9.40,5.00
9.20,0.43,0.49,2.40,0.09,23.00,116.00,1.00,3.23,0.64,9.50,5.00
10.40,0.64,0.24,2.80,0.11,29.00,53.00,1.00,3.24,0.67,9.90,5.00
7.30,0.37,0.49,2.50,0.09,39.00,106.00,1.00,3.36,0.78,11.00,5.00
7.00,0.38,0.49,2.50,0.10,33.00,85.00,1.00,3.39,0.77,11.40,6.00
8.20,0.42,0.49,2.60,0.08,32.00,55.00,1.00,3.34,0.75,8.70,6.00
9.90,0.63,0.24,2.40,0.08,6.00,33.00,1.00,3.09,0.57,9.40,5.00
9.10,0.22,0.24,2.10,0.08,1.00,28.00,1.00,3.41,0.87,10.30,6.00
11.90,0.38,0.49,2.70,0.10,12.00,42.00,1.00,3.16,0.61,10.30,5.00
11.90,0.38,0.49,2.70,0.10,12.00,42.00,1.00,3.16,0.61,10.30,5.00
10.30,0.27,0.24,2.10,0.07,15.00,33.00,1.00,3.22,0.66,12.80,6.00
10.00,0.48,0.24,2.70,0.10,13.00,32.00,1.00,3.28,0.56,10.00,6.00
9.10,0.22,0.24,2.10,0.08,1.00,28.00,1.00,3.41,0.87,10.30,6.00
9.90,0.63,0.24,2.40,0.08,6.00,33.00,1.00,3.09,0.57,9.40,5.00
8.10,0.83,0.24,2.10,0.08,5.00,13.00,1.00,3.37,0.77,10.70,6.00
12.90,0.35,0.49,5.80,0.07,5.00,35.00,1.00,3.20,0.66,12.00,7.00
11.20,0.50,0.74,5.15,0.10,5.00,17.00,1.00,3.22,0.62,11.20,5.00
9.20,0.59,0.24,3.30,0.10,20.00,47.00,1.00,3.26,0.67,9.60,5.00
9.50,0.46,0.49,6.30,0.06,5.00,17.00,1.00,3.21,0.73,11.00,6.00
9.30,0.72,0.24,2.10,0.07,5.00,20.00,1.00,3.12,0.59,9.90,5.00
11.20,0.66,0.24,2.50,0.09,16.00,53.00,1.00,3.06,0.72,11.00,6.00
14.30,0.31,0.74,1.80,0.08,6.00,15.00,1.00,2.86,0.79,8.40,6.00
9.10,0.47,0.49,2.60,0.09,38.00,106.00,1.00,3.08,0.59,9.10,5.00
7.50,0.55,0.24,2.00,0.08,10.00,28.00,1.00,3.45,0.78,9.50,6.00
10.60,0.31,0.49,2.50,0.07,6.00,21.00,1.00,3.26,0.86,10.70,6.00
12.40,0.35,0.49,2.60,0.08,27.00,69.00,1.00,3.12,0.75,10.40,6.00
9.00,0.53,0.49,1.90,0.17,6.00,25.00,1.00,3.27,0.61,9.40,6.00
6.80,0.51,0.01,2.10,0.07,9.00,25.00,1.00,3.33,0.56,9.50,6.00
9.40,0.43,0.24,2.80,0.09,14.00,45.00,1.00,3.19,0.73,10.00,6.00
9.50,0.46,0.24,2.70,0.09,14.00,44.00,1.00,3.12,0.74,10.00,6.00
5.00,1.04,0.24,1.60,0.05,32.00,96.00,0.99,3.74,0.62,11.50,5.00
15.50,0.65,0.49,4.20,0.10,10.00,23.00,1.00,2.92,0.74,11.10,5.00
15.50,0.65,0.49,4.20,0.10,10.00,23.00,1.00,2.92,0.74,11.10,5.00
10.90,0.53,0.49,4.60,0.12,10.00,17.00,1.00,3.07,0.56,11.70,6.00
15.60,0.65,0.49,4.20,0.10,10.00,23.00,1.00,2.92,0.74,11.10,5.00
10.90,0.53,0.49,4.60,0.12,10.00,17.00,1.00,3.07,0.56,11.70,6.00
13.00,0.47,0.49,4.30,0.09,6.00,47.00,1.00,3.30,0.68,12.70,6.00
12.70,0.60,0.49,2.80,0.08,5.00,19.00,1.00,3.14,0.57,11.40,5.00
9.00,0.44,0.49,2.40,0.08,26.00,121.00,1.00,3.23,0.58,9.20,5.00
9.00,0.54,0.49,2.90,0.09,41.00,110.00,1.00,3.08,0.61,9.20,5.00
7.60,0.29,0.49,2.70,0.09,25.00,60.00,1.00,3.31,0.61,10.10,6.00
13.00,0.47,0.49,4.30,0.09,6.00,47.00,1.00,3.30,0.68,12.70,6.00
12.70,0.60,0.49,2.80,0.08,5.00,19.00,1.00,3.14,0.57,11.40,5.00
8.70,0.70,0.24,2.50,0.23,5.00,15.00,1.00,3.32,0.60,9.00,6.00
8.70,0.70,0.24,2.50,0.23,5.00,15.00,1.00,3.32,0.60,9.00,6.00
9.80,0.50,0.49,2.60,0.25,5.00,20.00,1.00,3.31,0.79,10.70,6.00
6.20,0.36,0.24,2.20,0.10,19.00,42.00,0.99,3.57,0.57,11.70,6.00
11.50,0.35,0.49,3.30,0.07,10.00,37.00,1.00,3.32,0.91,11.00,6.00
6.20,0.36,0.24,2.20,0.10,19.00,42.00,0.99,3.57,0.57,11.70,6.00
10.20,0.24,0.49,2.40,0.08,10.00,28.00,1.00,3.14,0.61,10.40,5.00
10.50,0.59,0.49,2.10,0.07,14.00,47.00,1.00,3.30,0.56,9.60,4.00
10.60,0.34,0.49,3.20,0.08,20.00,78.00,1.00,3.19,0.70,10.00,6.00
12.30,0.27,0.49,3.10,0.08,28.00,46.00,1.00,3.20,0.80,10.20,6.00
9.90,0.50,0.24,2.30,0.10,6.00,14.00,1.00,3.34,0.52,10.00,4.00
8.80,0.44,0.49,2.80,0.08,18.00,111.00,1.00,3.30,0.60,9.50,5.00
